NAME                                                                           VERSION                                                  TYPE                            
@nodelib/fs.scandir                                                            2.1.5                                                    npm           (+1 duplicate)    
@nodelib/fs.stat                                                               2.0.5                                                    npm           (+1 duplicate)    
@nodelib/fs.walk                                                               1.2.8                                                    npm           (+1 duplicate)    
@npmcli/agent                                                                  3.0.0                                                    npm                             
@npmcli/agent                                                                  4.0.0                                                    npm                             
@npmcli/arborist                                                               9.1.6                                                    npm                             
@npmcli/config                                                                 10.4.2                                                   npm                             
@npmcli/fs                                                                     4.0.0                                                    npm                             
@npmcli/git                                                                    7.0.0                                                    npm                             
@npmcli/installed-package-contents                                             3.0.0                                                    npm                             
@npmcli/map-workspaces                                                         5.0.0                                                    npm                             
@npmcli/metavuln-calculator                                                    9.0.2                                                    npm                             
@npmcli/name-from-folder                                                       3.0.0                                                    npm                             
@npmcli/node-gyp                                                               4.0.0                                                    npm                             
@npmcli/package-json                                                           7.0.1                                                    npm                             
@npmcli/promise-spawn                                                          8.0.3                                                    npm                             
@npmcli/query                                                                  4.0.1                                                    npm                             
@npmcli/redact                                                                 3.2.2                                                    npm                             
@npmcli/run-script                                                             10.0.0                                                   npm                             
@oxc-project/types                                                             0.124.0                                                  npm                             
@oxc-project/types                                                             0.137.0                                                  npm                             
@pkgjs/parseargs                                                               0.11.0                                                   npm                             
@playwright/test                                                               1.61.1                                                   npm                             
@popperjs/core                                                                 2.11.8                                                   npm           (+1 duplicate)    
@radix-ui/number                                                               1.1.2                                                    npm                             
@radix-ui/primitive                                                            1.1.4                                                    npm                             
@radix-ui/react-accessible-icon                                                1.1.11                                                   npm                             
@radix-ui/react-accordion                                                      1.2.15                                                   npm                             
@radix-ui/react-alert-dialog                                                   1.1.18                                                   npm                             
@radix-ui/react-arrow                                                          1.1.11                                                   npm                             
@radix-ui/react-aspect-ratio                                                   1.1.11                                                   npm                             
@radix-ui/react-avatar                                                         1.2.1                                                    npm                             
@radix-ui/react-checkbox                                                       1.3.6                                                    npm                             
@radix-ui/react-collapsible                                                    1.1.15                                                   npm                             
@radix-ui/react-collection                                                     1.1.11                                                   npm                             
@radix-ui/react-compose-refs                                                   1.1.3                                                    npm                             
@radix-ui/react-context                                                        1.1.4                                                    npm                             
@radix-ui/react-context-menu                                                   2.3.2                                                    npm                             
@radix-ui/react-dialog                                                         1.1.18                                                   npm                             
@radix-ui/react-direction                                                      1.1.2                                                    npm                             
@radix-ui/react-dismissable-layer                                              1.1.14                                                   npm                             
@radix-ui/react-dropdown-menu                                                  2.1.19                                                   npm                             
@radix-ui/react-focus-guards                                                   1.1.4                                                    npm                             
@radix-ui/react-focus-scope                                                    1.1.11                                                   npm                             
@radix-ui/react-form                                                           0.1.11                                                   npm                             
@radix-ui/react-hover-card                                                     1.1.18                                                   npm                             
@radix-ui/react-id                                                             1.1.2                                                    npm                             
@radix-ui/react-label                                                          2.1.11                                                   npm                             
@radix-ui/react-menu                                                           2.1.19                                                   npm                             
@radix-ui/react-menubar                                                        1.1.19                                                   npm                             
@radix-ui/react-navigation-menu                                                1.2.17                                                   npm                             
@radix-ui/react-one-time-password-field                                        0.1.11                                                   npm                             
@radix-ui/react-password-toggle-field                                          0.1.6                                                    npm                             
@radix-ui/react-popover                                                        1.1.18                                                   npm                             
@radix-ui/react-popper                                                         1.3.2                                                    npm                             
